,0
avgLength,0.37748128864301983
LibraryName,65.2001301659616
Study_Pubmed_id,32.554506996420436
CenterName,0.9046534331272372
AUTHOR,28.08981451350472
sample_source,18.080052066384642
sample_title,5.4018874064432145
Experimental Factor: catalase 2 KO  (cat2-2),99.98698340383989
Experimental Factor: none,99.98698340383989
Experimental Factor: 0,99.98698340383989
Experimental Factor: high light,99.98698340383989
Experimental Factor: 3,99.98698340383989
Experimental Factor: wild type,99.98698340383989
Experimental Factor: wild type genotype,99.98698340383989
Experimental Factor: Untreated flash frozen,99.99349170191995
Experimental Factor: Tunicamycin-treated flash frozen,99.99349170191995
Experimental Factor: hfq deletion strain,99.98698340383989
Experimental Factor: HEK293,99.99349170191995
Experimental Factor: HEK293 PDE12-/-,99.99349170191995
Experimental Factor: deltaFLP 143B cybrid,99.99349170191995
progenitor cell type,99.96095021151969
Experimental Factor: genetic modification,99.96095021151969
geographic location (country and/or sea),99.8503091441588
specimen with known storage state,99.97396680767979
Experimental Factor: seq_library_selection,99.97396680767979
rnasei treatment,99.86983403839896
translation inhibitor,99.83078424991865
model,99.94142531727952
identity,99.96095021151969
cdna type,99.56394402863651
primer set,99.84380084607875
lentivirally transduced transgenes,99.98698340383989
genotype/variaion,99.98047510575985
mouse line,99.73966807679791
type,99.79173446143832
disease state,99.91539212495933
diagnosis,99.92190042303938
cell status,99.96095021151969
isolates,99.89586723071918
lncrna probes,99.93491701919947
sequencing type,99.93491701919947
knockdown or knockout,99.97396680767979
input,99.92190042303938
fragmentation,99.92190042303938
lentivirus,99.84380084607875
animal group,99.88285063455906
cell stage,99.92190042303938
biol replicate,99.84380084607875
tech replicate,99.84380084607875
tretment,99.81776765375854
CELL_LINE,50.79726651480638
TISSUE,32.36576635209892
INHIBITOR,46.592905955092746
TIMEPOINT,82.08916368369671
FRACTION,89.26781646599414
REPLICATE,53.94728278555158
CONDITION,52.57403189066059
LIBRARYTYPE,11.252847380410023
STAGE,83.27367393426618
GENE,95.69150667100553
Sex,90.34168564920273
Strain,52.49593231369997
Age,82.47315327041979
Infected,96.74585095997396
Disease,99.74617637487798
Genotype,59.68109339407744
Feeding,94.04490725675237
Temperature,98.47705824926781
SiRNA,99.6615684998373
SgRNA,99.85681744223885
ShRNA,99.51838594207615
Plasmid,98.24926781646599
Growth_Condition,88.70810283110967
Stress,97.54637162382038
Cancer,98.15815164334526
microRNA,99.63553530751709
Individual,98.21021802798569
Batch,98.12561015294501
Antibody,99.43377806703548
Ethnicity,99.85681744223885
Dose,98.39245037422714
Stimulation,99.28408721119428
Host,99.42726976895541
UMI,99.44679466319558
Adapter,99.12788805727303
Separation,96.47901073869183
rRNA_depletion,97.66352098926131
Barcode,98.70484868206964
Monosome_purification,100.0
Nuclease,99.51838594207615
Kit,99.28408721119428
Info,4.738041002277904
serotype,100.0
sub_strain,100.0
umi_file_md5,100.0
umi_file_name,100.0
Single-end/Pair-end,99.96095021151969
Sample_inf,100.0
collection_method,100.0
inhibitors,100.0
knock-out,99.88285063455906
hours in fe-deficient conditions,99.88285063455906
sample pair,100.0
nuclease treatment,99.89586723071918
rna or_ribo,100.0
ScientificName.1,99.98698340383989
